PinName,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
PA0,,TIMER1_CH0/TIMER1_ETI,TIMER4_CH0,TIMER7_ETI,,,,USART1_CTS,UART3_TX,,,,,,,EVENTOUT
PA1,,TIMER1_CH1,TIMER4_CH1,,,,,USART1_RTS,UART3_RX,,,,,,,EVENTOUT
PA2,,TIMER1_CH2,TIMER4_CH2,TIMER8_CH0,,I2S_CKIN,,USART1_TX,,,,,,,,EVENTOUT
PA3,,TIMER1_CH3,TIMER4_CH3,TIMER8_CH1,,I2S1_MCK,,USART1_RX,,,USBHS_ULPI_D0,,,,,EVENTOUT
PA4,,,,,,SPI0_NSS,SPI2_NSS/I2S2_WS,USART1_CK,,,,,USBHS_SOF,DCI_HSYNC,,EVENTOUT
PA5,,TIMER1_CH0/TIMER1_ETI,,TIMER7_CH0_ON,,SPI0_SCK,,,,,USBHS_ULPI_CK,,,,,EVENTOUT
PA6,,TIMER0_BRKIN,TIMER2_CH0,TIMER7_BRKIN,,SPI0_MISO,I2S1_MCK,,,TIMER12_CH0,,,SDIO_CMD,DCI_PIXCLK,,EVENTOUT
PA7,,TIMER0_CH0_ON,TIMER2_CH1,TIMER7_CH0_ON,,SPI0_MOSI,,,,TIMER13_CH0,,,,,,EVENTOUT
PA8,CK_OUT0,TIMER0_CH0,,,I2C2_SCL,,,USART0_CK,,CTC_SYNC,USBFS_SOF,,SDIO_D1,,,EVENTOUT
PA9,,TIMER0_CH1,,,I2C2_SMBA,SPI1_SCK/I2S1_CK,,USART0_TX,,,,,SDIO_D2,DCI_D0,,EVENTOUT
PA10,,TIMER0_CH2,,,I2C2_TXFRAME,,,USART0_RX,,,USBFS_ID,,,DCI_D1,,EVENTOUT
PA11,,TIMER0_CH3,,,,,,USART0_CTS,USART5_TX,CAN0_RX,USBFS_DM,,,,,EVENTOUT
PA12,,TIMER0_ETI,,,,,,USART0_RTS,USART5_RX,CAN0_TX,USBFS_DP,,,,,EVENTOUT
PA13,JTMS/SWDIO,,,,,,,,,,,,,,,EVENTOUT
PA14,JTCK/SWCLK,,,,,,,,,,,,,,,EVENTOUT
